TERM;CURRENT-NAME;PLEIADES-URI;GEONAMES-URI;DESCRIPTION;TYPE-TERM;DOCUMENT;GAZETTEER-PROVENNANCE
Lebrixa;Lebrija;https://pleiades.stoa.org/places/256322;http://sws.geonames.org/6361008/;null; ; ; 
Legionis;Cardoue,Cordoa,Cordoba,Cordoba i Spania,Cordoue,Cordova,Corduba,Còrdoa,Còrdova,Córdoba,Córdoba i Spania,Córdova,Córduba,Gorad Kordava,Kordoba,Kordova,Kordovo,Kordowa,ODB,ge duo hua,ke er duo wa,koleudoba,kordoba,korudoba,kurtupa,kwrdwba,kxr do ba,kۆrdۆba,qrtbh,qrtbt,qwrdwbh,Κό�?δοβα,Горад Кордава,Кордоба,Кордова,Կորդովա,ק�?רד�?בע,קורדובה,قرطبة,قرطبه,قرطب�?,كوردوبا,کوردوبا,کۆردۆبا,कोर�?दोबा,க�?ர�?த�?பா,�?อร์โดบา,კ�?რდ�?ბ�?,コルド�?,哥多�?�,科爾多瓦,코르�?�바; ;http://sws.geonames.org/2519240;null;GENT;TEXT.ACN;Geonames
Leon;León;http://pleiades.stoa.org/places/236512; ;null; ; ; 
León;Leon;http://pleiades.stoa.org/places/236512; ;null; ; ; 
Lopera;Lopera; ;http://sws.geonames.org/2514896/;null; ; ; 
Madrid;Madrid; ;http://sws.geonames.org/6359304/; ; ;TEXT.ACN;Freeling
Madrit;Madrid; ;http://sws.geonames.org/6359304/; ; ;TEXT.ACN;Freeling
Madryt;Madrid; ;http://sws.geonames.org/6359304/; ;GENT;TEXT.ACN;Medieval
Malea; ;http://pleiades.stoa.org/places/570454; ;An ancient place, cited: BAtlas 58 C3 Malea; ;TEXT.ACN;Pleiades
Maleha;null;http://pleiades.stoa.org/places/570454; ;An ancient place, cited: BAtlas 58 C3 Malea;GENT;TEXT.ACN;Pleiades
Mançanares; ; ;http://sws.geonames.org/9179363;null;GENT;TEXT.ACN;Geonames
Mathe; ;http://pleiades.stoa.org/places/806354; ;An ancient place, cited: BAtlas 82 unlocated Mathe; ;TEXT.ACN;Pleiades
Maçanedo;Sevilla;http://pleiades.stoa.org/places/256210;http://sws.geonames.org/2510911/; ; ;TEXT.ACN;medieval
Medina;Madina,Madiña; ;http://sws.geonames.org/6325382;null;GENT;TEXT.ACN;Geonames
Meneses;Sevilla;http://pleiades.stoa.org/places/256210;http://sws.geonames.org/2510911/; ; ;TEXT.ACN;medieval
Millan; ; ;http://sws.geonames.org/9406783;null;GENT;TEXT.ACN;Geonames
Moguer;Moger; ;http://www.geonames.org/6358226/;null; ; ; 
