TERM;POSITION;TYPE;MODE;URI;CURRENT_TERM;AMBIGUOUS;ANOTHER_MEANING;ANOTHER_MEANING_URI;DESCRIPTION;GAZETTEER;VERIFICATION
Fromesta;6780;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Alfonso;6833;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Conoscida;6849;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;6921;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;6946;PN;FT;;;;;;;;FOUND
Castiella;6972;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;6986;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;6996;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;7004;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;7016;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;7027;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murçia;7038;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jaen;7050;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Fiio;7093;PPN;PPT;;;yes;APLN;;;;VALIDATE
Medina;7101;PPN;PPT;;;yes;APLN;;;;VALIDATE
Santa Marina;7201;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Martin;7253;PN;FT;;;;;;;;FOUND
Huerta;7263;PLN;FT;http://sws.geonames.org/6360406; ;not;;;null;Geonames;FOUND
Miguel;7280;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Munnoz;7288;PPLN;GENT;http://sws.geonames.org/3115884;Munoz,Muñoz,QLM; ; ; ;null;Geonames;VALIDATE
Yuannes;7304;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Diago;7313;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Fortun;7328;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Royz;7336;PN;FT; ; ;not; ; ; ; ;FOUND
Rey;7354;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Guadalquiuir;7425;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Seuilla;7475;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not; ; ; ;Medieval;FOUND
Sancho;7522;PN;FT;;;;;;;;FOUND
Vela;7530;PPLN;GENT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/438868;null; ; ; ;An ancient place, cited: BAtlas 44 unlocated Vella;Pleiades;VALIDATE
cosa;8147;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;8397;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Rey;8439;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Aluar;8526;PN;FT;;;;;;;;FOUND
Garcia;8532;PN;FT;;;yes;APLN;;;;FOUND
Fromesta;8542;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Alfonso;8595;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Conoscida;8611;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;8677;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;8702;PN;FT;;;;;;;;FOUND
Castiella;8715;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;8728;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;8738;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;8746;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;8758;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;8769;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;8780;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jaen;8792;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Martin;8812;PN;FT;;;;;;;;FOUND
Melendez;8819;UN;UNI;;;not;;;;;UNIDENTIFIED
Forniellos;8831;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Santiague;8891;PPLN;GENT; ; ;not;;; ; ;VALIDATE
Baeça;8966;PLN;FT;https://pleiades.stoa.org/places/266099;Baeza;not;;;null;Medieval;FOUND
Gutier;9005;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Gonçaluez;9013;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Serna;9029;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Lop;9061;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Ortiz;9066;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Freyra;9101;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
La;9227;PPLN;PPT;;;not;;;;;VALIDATE
Renconada;9230;PPLN;PPT;;;not;;;;;VALIDATE
Axaraf;9294;UN;UNI;;;not;;;;;UNIDENTIFIED
Seuilla;9304;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Munno;9426;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Diaz;9433;PN;FT; ; ;not; ; ; ; ;FOUND
Johan;9526;PN;FT;;;;;;;;FOUND
Arias;9533;PLN;FT;http://sws.geonames.org/3129571;Arias,Caserio Arias,Caserio de Arias,Caserío Arias,Caserío de Arias;not;;;null;Geonames;FOUND
Cadro;9542;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Munno;9569;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Diaz;9576;PN;FT; ; ;not; ; ; ; ;FOUND
Alcala;9697;PLN;FT;http://pleiades.stoa.org/places/246352;Alcalá de Henares;not;;;null;Medieval;FOUND
Guadayra;9707;PPLN;PPT;;;not;;;;;VALIDATE
Tod;9886;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Remondo;10008;PLN;FT;http://sws.geonames.org/6360891; ;not; ; ;null;Geonames;FOUND
Segouia;10026;PLN;FT;http://pleiades.stoa.org/places/236658;Segovia;not;;; ;Medieval;FOUND
Gonçaluo;10061;PN;FT;;;;;;;;FOUND
Garcia;10070;PN;FT;;;yes;APLN;;;;FOUND
Torquemada;10080;PLN;FT;http://sws.geonames.org/6360121; ;not;;;null;Geonames;FOUND
E ;10482;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Seuilla;10803;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Seuilla;11181;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Seuilla;11798;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Seuilla;11886;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Seuilla;12048;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Seuilla;12091;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Seuilla;12182;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not; ; ; ;Medieval;FOUND
cosa;12569;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Martin;12820;PN;FT;;;;;;;;FOUND
Melendez;12827;UN;UNI;;;not;;;;;UNIDENTIFIED
Forniellos;12839;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Fecha;12951;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Aluar;13080;PN;FT;;;;;;;;FOUND
Garcia;13086;PN;FT;;;yes;APLN;;;;FOUND
Fromesta;13096;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Alfonso;13149;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Connoscida;13165;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;13238;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;13263;PN;FT;;;;;;;;FOUND
Castiella;13289;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;13303;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;13313;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;13321;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;13333;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;13344;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;13355;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;13367;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Esidro;13392;PN;FT;;;;;;;;FOUND
Gonçaluez;13399;UN;UNI;;;not;;;;;UNIDENTIFIED
Santa Maria;13500;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Garci;13553;PN;FT;;;;;;;;FOUND
Martinez;13560;PN;AT; ; ;yes;APLN;http://sws.geonames.org/9170045;null;Geonames;FOUND
Symon;13597;PN;FT;;;;;;;;FOUND
Maria;13650;PN;FT; ; ;not; ; ; ; ;FOUND
Bartholome;13690;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Sol;13745;PLN;FT;http://sws.geonames.org/9179909; ;not; ; ;null;Geonames;FOUND
Rey;13784;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Puerta;13828;PLN;FT;http://sws.geonames.org/3113152;Porta,San Pedro;not;;;null;Medieval;FOUND
Macarena;13835;UN;UNI;;;not;;;;;UNIDENTIFIED
Garci;13887;PN;FT;;;;;;;;FOUND
