Arias;9533;PLN;FT;http://sws.geonames.org/3129571;Arias,Caserio Arias,Caserio de Arias,Caserío Arias,Caserío de Arias;not;;;null;Geonames;FOUND
Cadro;9542;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Munno;9569;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Alcala;9697;PLN;FT;http://pleiades.stoa.org/places/246352;Alcalá de Henares;not;;;null;Medieval;FOUND
Guadayra;9707;PPLN;PPT;;;not;;;;;VALIDATE
Remondo;10008;PLN;FT;http://sws.geonames.org/6360891; ;not; ; ;null;Geonames;FOUND
Segouia;10026;PLN;FT;http://pleiades.stoa.org/places/236658;Segovia;not;;; ;Medieval;FOUND
Torquemada;10080;PLN;FT;http://sws.geonames.org/6360121; ;not;;;null;Geonames;FOUND
Seuilla;10803;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Seuilla;11181;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Seuilla;11798;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Seuilla;11886;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Seuilla;12048;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Seuilla;12091;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Seuilla;12182;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not; ; ; ;Medieval;FOUND
cosa;12569;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Forniellos;12839;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Fecha;12951;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Fromesta;13096;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;13289;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;13303;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;13313;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;13321;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;13333;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;13344;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;13355;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;13367;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Santa Maria;13500;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Sol;13745;PLN;FT;http://sws.geonames.org/9179909; ;not; ; ;null;Geonames;FOUND
Rey;13784;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Puerta;13828;PLN;FT;http://sws.geonames.org/3113152;Porta,San Pedro;not;;;null;Medieval;FOUND
Toledo;13903;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Reyna;13978;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/678362;null;not; ; ;An ancient place, cited: BAtlas 69 B4 Reina;Medieval;FOUND
Cordoua;14033;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not; ; ;null;Medieval;FOUND
cosa;14506;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;14755;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Rey;14797;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Fromesta;14898;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;15091;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;15105;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;15115;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;15123;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;15135;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;15146;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;15157;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;15169;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Reyna;15190;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/678362;null;not; ; ;An ancient place, cited: BAtlas 69 B4 Reina;Medieval;FOUND
Moros;15549;PLN;FT;http://sws.geonames.org/6362865; ;not;;;null;Geonames;FOUND
cosa;15957;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;16210;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Algarue;16537;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Calatraua;16723;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;16779;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Castiella;16829;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
La;16850;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Leon;16864;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Ouiedo;16898;PPLN;PPT; ; ;not;;; ; ;VALIDATE
La;16916;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Coria;16930;PLN;FT;http://sws.geonames.org/6356764;Coria,Còria,Cória,Koria,Korija,ke li ya,qwryt,Кория,Корія,Կորիա,قورية,科里亚;not;;;null;Geonames;FOUND
Gallizia;16972;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Sanctiago;17008;PPLN;PPT; ; ;not;;; ; ;VALIDATE
